year,All-countries,Africa,Algeria,Angola,Benin,Botswana,Burkina-Faso,Burundi,Cameroon,Cape-Verde,Central-African-Republic,Chad,Cote-d'Ivoire,Democratic-Republic-Congo,Djibouti,Egypt,Equatorial-Guinea,Eritrea,Ethiopia,Gabon,Gambia-,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Republic-of-Congo,Rwanda,Senegal,Seychelles,Sierra-Leone,Somalia,South-Africa,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Americas,Anguilla,Antigua-Barbuda,Argentina,Aruba,Bahamas,Barbados,Belize,Bermuda,Bolivia,Brazil,British-Virgin-Islands,Canada,Cayman-Islands,Chile,Colombia,Costa-Rica,Cuba,Dominica,Dominican-Republic,Ecuador,El-Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Netherlands-Antilles,Nicaragua,Panama,Paraguay,Peru,St-Kitts-Nevis,St-Lucia,St-Vincent-and-the-Grenadines,Suriname,Trinidad-and-Tobago,Turks-and-Caicos-Islands,United-States,Uruguay,Venezuela,Asia,Afghanistan,Armenia,Azerbaijan,Bahrain,Bangladesh,Bhutan,Brunei,Burma,Cambodia,China,Cyprus,Georgia,Hong-Kong,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Laos,Lebanon,Macau,Malaysia,Mongolia,Nepal,Oman,Pakistan,Philippines,Qatar,Saudi-Arabia,Singapore,South-Korea,Sri-Lanka,Syria,Taiwan,Tajikistan,Thailand,Turkey,Turkmenistan,United-Arab-Emirates,Uzbekistan,Vietnam,Yemen,Europe,Albania,Austria,Belarus,Belgium,Bosnia-Herzegovina,Bulgaria,Croatia,Czech-Republic,Czechoslovakia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Republic-of-Moldova,Romania,Russia,Slovak-Republic,Slovenia,Spain,Sweden,Switzerland,Ukraine,United-Kingdom,Yugoslavia,Oceania,Australia,Fiji,French-Polynesia,Marshall-Islands,Micronesia-Federated-States,New-Zealand,Palau,Papua-New-Guinea,Samoa,Tonga
1989,1090924,25166,230,143,16,10,11,9,187,1118,1,4,98,140,8,3717,2,0,3389,7,71,2045,45,9,910,8,1175,210,23,84,18,9,56,984,81,26,7,5213,10,7,141,13,939,228,1899,272,7,507,29,125,393,259,230,856324,43,979,3301,73,861,1616,2217,182,1805,3332,258,12151,48,3037,15214,1985,10046,748,26723,7532,57878,1046,19049,10789,13658,7593,24523,405172,124,65,8830,3482,529,10175,795,709,892,163,5394,78,108,948,2099,312149,3232,0,0,47,2180,1,16,1170,6076,32272,284,0,9740,31175,1513,21243,1516,4244,4849,3921,0,710,0,12524,5716,246,1506,0,134,18,8000,57034,49,381,566,34222,757,2675,13974,0,9332,2007,0,114,0,37739,0,82891,71,501,0,548,0,265,0,0,992,593,14,325,2598,6845,2491,1193,124,6961,2910,57,63,16,0,74,1193,482,15101,3758,0,4573,0,0,0,1550,1078,788,0,14090,2496,4340,1546,968,22,5,8,789,36,9,295,646
1990,1536483,35893,302,141,27,21,8,5,380,907,14,8,184,256,22,4117,5,0,4336,11,170,4466,67,8,1297,16,2004,268,37,48,34,3,67,1200,100,23,3,8843,9,6,537,21,1290,277,1990,306,11,635,30,226,674,209,272,1304979,41,1319,5437,83,1378,1745,3867,203,2843,4191,105,16812,53,4049,24189,2840,10645,963,42195,12476,80173,1294,32303,11362,20324,12024,25013,679068,172,80,11562,3433,704,15726,896,833,973,240,6740,206,122,1457,3142,338581,3187,0,0,58,4252,1,16,1120,5179,31815,316,0,9393,30667,3498,24977,1756,4664,5734,4449,0,691,0,10446,5634,301,1867,0,184,9,9729,63756,33,518,620,32301,976,2972,15151,0,8914,2468,0,192,0,48792,0,112401,78,675,0,682,0,428,0,0,1412,666,20,369,2849,7443,2742,1655,107,10333,3287,45,67,31,0,77,1424,524,20537,4035,0,4647,0,0,0,1886,1196,845,0,15928,2828,6160,1754,1353,29,3,7,829,84,14,690,1375
1991,1827167,36179,269,132,24,3,8,16,452,973,8,9,347,238,21,5602,5,0,5127,11,159,3330,84,14,1185,4,1292,314,23,68,63,9,64,1601,74,14,1,7912,22,12,869,32,951,458,1854,679,5,500,33,275,538,228,261,1542217,56,944,3889,56,1062,1460,2377,146,3006,8133,137,13504,23,2842,19702,2341,10349,982,41405,9958,47351,979,25527,11666,47527,11451,23828,946167,143,40,17842,4204,538,16237,830,766,808,178,8407,121,70,1161,2622,358533,2879,0,0,58,10676,2,15,946,3251,33025,243,0,10427,45064,2223,19569,1494,4181,5049,4259,0,861,0,9950,6009,267,1860,2,174,5,20355,63596,56,552,535,26518,1377,2837,13274,0,7397,2528,0,164,0,55307,1547,135234,142,589,0,525,0,623,0,0,1156,601,23,333,2450,6509,2079,1534,117,4767,2619,86,157,21,0,83,1283,486,19199,4524,0,8096,0,0,0,1849,1080,696,0,13903,2713,6215,1678,1349,31,2,6,793,70,20,561,1685
1992,973977,27086,407,107,10,19,16,11,236,757,8,4,259,196,14,3576,2,0,4602,9,93,1867,104,8,953,15,999,286,41,72,55,2,61,1316,54,29,2,4551,9,10,337,30,693,500,2516,675,8,352,45,216,437,210,296,594344,46,619,3877,62,641,1091,1020,153,1510,4755,174,15205,40,1937,13201,1480,11791,809,41969,7286,26191,848,10521,9064,11002,6552,18915,213802,104,37,8949,2845,514,9868,626,654,687,238,7008,59,66,716,2340,356955,2685,6145,1640,81,3740,1,17,816,2573,38907,262,426,10452,36755,2916,13233,4111,5104,11028,4036,506,989,134,8696,5838,320,2235,6,212,24,10214,61022,59,584,774,19359,1081,2940,16344,186,7090,2488,34,172,1712,77735,2056,145392,682,701,3233,780,15,1049,77,0,1181,764,194,525,3288,9888,1858,1304,156,12226,2592,419,353,25,0,85,1586,665,25504,2748,1705,6500,8857,0,8,1631,1463,1023,14383,19973,2504,5156,2238,807,24,4,11,967,47,17,314,703
1993,904292,27783,360,92,21,13,11,13,262,936,15,3,250,233,14,3556,1,85,5191,5,76,1604,102,1,1065,5,1050,343,32,53,51,9,83,1176,56,37,4,4448,10,25,178,23,690,1088,2197,714,10,426,41,167,415,225,308,512906,23,554,2824,36,686,1184,1035,156,1545,4604,166,17156,16,1778,12819,1368,13666,683,45420,7324,26818,827,11870,8384,10094,7306,17241,126561,102,65,7086,2679,668,10447,544,634,657,211,6577,39,60,568,2743,358047,2964,6287,2943,93,3291,2,26,849,1639,65578,229,429,9161,40121,1767,14841,4072,4494,6908,4741,628,1129,124,7285,5465,334,2026,8,257,21,8927,63457,88,616,798,18026,1109,2933,14329,336,6654,2204,48,196,2664,59614,1793,158254,1400,549,4702,657,159,1029,370,0,990,735,191,544,2864,7312,1884,1091,164,13590,2487,668,529,14,0,52,1430,608,27846,2081,2646,5601,12079,10,50,1388,1393,972,18316,18783,2230,4882,2320,854,28,2,11,1052,42,15,200,348
1994,804416,26712,364,75,18,13,16,14,305,810,7,9,268,237,10,3392,1,468,3887,11,93,1458,97,0,1017,8,1762,166,27,55,55,10,65,1074,44,24,8,3950,11,16,213,22,698,1737,2144,651,7,357,52,149,391,198,246,464319,31,438,2318,24,589,897,772,118,1404,4491,137,16068,30,1640,10847,1205,14727,507,51189,5906,17644,595,7389,7662,13333,5265,14349,111398,69,48,5255,2378,789,9177,370,449,524,190,6292,26,47,516,2427,292589,2344,3984,2844,87,3434,2,14,938,1404,53985,204,652,7731,34921,1367,11422,6025,3425,6093,3990,750,1065,226,5089,4319,287,1480,21,257,32,8698,53535,51,668,542,16011,989,2426,10032,568,5489,1840,68,286,3435,41345,741,160916,1489,499,5420,516,521,981,412,11,642,606,272,471,2715,6992,1440,880,140,17256,2305,762,663,24,367,75,1239,459,28048,2169,2260,3444,15249,221,67,1418,1140,877,21010,16326,2038,4580,2049,1007,19,1,7,918,21,22,227,293
1995,720461,42456,650,81,23,16,17,26,506,968,2,11,289,355,25,5648,1,992,5960,13,153,3152,152,2,1419,10,1929,216,42,56,94,22,67,1726,50,35,10,6818,11,41,506,18,919,3487,2560,1645,20,524,83,189,383,222,299,405796,26,374,1762,27,585,734,644,111,1332,4558,98,12932,26,1534,10838,1062,17937,591,38512,6397,11744,583,6213,7362,14021,5496,16398,89932,83,58,4408,2247,559,8066,360,403,349,213,5424,27,57,414,2627,267931,1424,1992,1885,78,6072,2,14,1233,1492,35463,188,710,7249,34748,1020,9201,5596,2523,4837,3649,840,961,209,3936,3884,373,1223,17,312,31,9774,50984,60,788,399,16047,960,2362,9377,706,5136,2947,84,317,3645,41752,1501,128185,1420,518,3791,569,4061,1797,608,72,599,551,205,476,2505,6237,1309,900,125,5315,2231,651,767,15,666,72,1196,420,13824,2615,1856,4871,14560,503,65,1321,976,881,17432,12427,2907,4679,1751,1491,25,5,7,727,9,13,237,403
1996,915900,52889,1059,125,38,21,17,36,803,1012,27,13,432,433,19,6186,1,828,6086,29,207,6606,220,3,1666,11,2206,250,43,58,124,26,84,1783,59,30,102,10221,23,118,641,16,1918,2170,2966,2172,16,553,157,228,422,226,385,563404,36,406,2456,28,768,1043,786,103,1913,5891,87,15825,24,1706,14283,1504,26466,797,39604,8321,17903,787,8763,9489,18386,5870,19089,163572,99,76,6903,2560,615,12871,357,582,606,211,7344,35,51,540,3468,307807,1263,2441,1991,76,8221,8,20,1320,1568,41728,187,1157,7834,44859,1084,11084,5481,3126,6011,4445,1089,1202,280,2847,4382,453,1414,17,431,25,12519,55876,79,1164,561,18185,1277,3072,13401,634,4310,3657,121,343,4687,42067,2209,147581,4007,554,4268,651,6499,2066,810,165,561,608,280,602,3079,6748,1452,1183,182,1731,2501,736,1080,32,863,52,1423,478,15772,2984,1849,5801,19668,663,77,1659,1251,1006,21079,13624,3605,5298,1950,1847,15,3,5,800,9,17,215,416
1997,798378,47791,717,75,48,18,13,59,898,920,10,18,430,414,18,5031,2,948,5904,24,176,5105,158,24,1387,6,2216,171,33,72,97,51,44,2359,48,22,837,7038,31,170,435,15,1884,4005,2093,2030,11,399,222,163,400,262,274,509537,19,393,1964,26,641,829,664,75,1734,4583,93,11609,35,1443,13004,1330,33587,746,27053,7780,17969,755,7785,7257,15057,7616,17840,146865,99,43,6331,1981,304,10853,377,531,581,191,6409,37,38,429,3328,265810,1129,2094,1450,80,8681,6,6,1085,1638,41147,148,812,5577,38071,906,9642,3244,2448,5097,4171,1025,837,287,1935,3568,277,1051,22,447,36,12967,49117,70,815,460,14239,1128,2269,6745,311,3094,3145,99,329,3312,38519,1663,119871,4375,487,3062,554,6392,2774,720,186,395,429,285,376,2568,5723,1049,949,119,1001,1982,615,812,28,783,54,1059,372,12038,1665,1347,5545,16632,629,62,1241,958,1063,15696,10708,2793,4330,1630,1549,21,3,2,655,8,15,138,303
1998,654451,40660,804,66,47,12,14,51,691,814,6,8,364,155,15,4831,7,641,4205,21,227,4458,46,165,1696,4,1617,166,42,39,83,78,37,2410,39,24,283,7746,118,52,373,5,955,2629,1904,1161,8,339,246,200,355,213,186,410567,26,297,1511,23,602,726,496,63,1513,4401,55,10190,28,1240,11836,1204,17375,283,20387,6852,14590,655,7759,3963,13449,6463,15146,131575,65,61,3521,1646,275,10154,405,509,414,143,4852,46,31,368,3136,219696,831,1146,504,53,8621,6,19,1371,1439,36884,119,295,5275,36482,1020,7883,2220,1991,5138,3255,540,749,111,1612,3290,276,1011,26,476,25,13094,34466,60,703,389,14268,1085,2840,7097,66,3102,2682,44,329,601,17649,1859,90793,4221,291,981,421,4212,3735,549,144,342,457,128,314,2352,5472,863,809,111,944,1831,370,1191,21,785,59,917,298,8469,1536,562,5112,11529,491,57,1043,823,828,7448,9018,2408,3926,1147,1717,14,6,4,628,6,10,147,230
